# Sarki | Sanatci | 1. satir | 2. satir  -- son iki bolumu doldur

# ---- 90'LAR ----
Şımarık | Tarkan |  | 
Ölürüm Sana | Tarkan |  | 
Unutmamalı | Tarkan |  | 
Kış Güneşi | Tarkan |  | 
Salına Salına Sinsice | Tarkan |  | 
Hepsi Senin mi? | Tarkan |  | 
Araba | Mustafa Sandal |  | 
Aya Benzer | Mustafa Sandal |  | 
Karabiberim | Serdar Ortaç |  | 
Abone | Yonca Evcimik |  | 
Bandıra Bandıra | Yonca Evcimik |  | 
Hakkını Helal Et | Mirkelam |  | 
Her Gece | Mirkelam |  | 
Yemin Ettim | Kayahan |  | 
Odalarda Işıksızım | Kayahan |  | 
Med Cezir | Levent Yüksel |  | 
Uslanmıyor Bu | Levent Yüksel |  | 
Ateşle Barut | Hakan Peker |  | 
Benimle Oynama | Burak Kut |  | 
Yaparım Bilirsin | Emel Müftüoğlu |  | 
Ellerim Bomboş | Fatih Erkoç |  | 
Yalnızlık Mevsimi | Kargo |  | 
Delikanlım | Yıldız Tilbe |  | 
Esmer Günler | Nilüfer |  | 
Vazgeçtim Dünyadan | Şebnem Ferah |  | 
Sigara | Şebnem Ferah |  | 
İstanbul'da Sonbahar | Teoman |  | 
Kaçın Kurası | Sezen Aksu |  | 
Hadi Bakalım | Sezen Aksu |  | 
Şinanay | Sezen Aksu |  | 
Gülümse | Sezen Aksu |  | 
Zor Kadın | Sertab Erener |  | 

# ---- 2000'LER ----
Kuzu Kuzu | Tarkan |  | 
Dudu | Tarkan |  | 
Hüp | Tarkan |  | 
Bounce | Tarkan |  | 
Uyan | Tarkan |  | 
Kop | Mustafa Sandal |  | 
İsyankar | Mustafa Sandal |  | 
Jest Oldu | Mustafa Sandal |  | 
Melek Yüzlüm | Mustafa Sandal |  | 
Mesafe | Serdar Ortaç |  | 
Heyecanlısın | Serdar Ortaç |  | 
Dansöz | Serdar Ortaç |  | 
Rakkas | Sezen Aksu |  | 
Everyway That I Can | Sertab Erener |  | 
Aşk Ölmez Biz Ölürüz | Sertab Erener |  | 
Kumsalda | Sertab Erener |  | 
Açık Adres | Sertab Erener |  | 
Çakkıdı | Kenan Doğulu |  | 
Dursun Zaman | Kenan Doğulu |  | 
Shake It Up Şekerim | Kenan Doğulu |  | 
Tutamıyorum Zamanı | Kenan Doğulu |  | 
Yakar Geçerim | Ajda Pekkan |  | 
Resim | Ajda Pekkan |  | 
Ara Sıra | Ajda Pekkan |  | 
Acele Etme | Hande Yener |  | 
Kırmızı | Hande Yener |  | 
Kelepçe | Hande Yener |  | 
Romeo | Hande Yener |  | 
Bodrum | Hande Yener |  | 
Düm Tek Tek | Hadise |  | 
Aşk Kaç Beden Giyer | Hadise |  | 
Sözde Ayrılık | Gülşen |  | 
Özledim | Murat Boz |  | 
Geri Dönüş Olsa | Murat Boz |  | 
Aşkı Bulamam Ben | Murat Boz |  | 
Belki Bir Gün Özlersin | Emre Aydın |  | 
Afili Yalnızlık | Emre Aydın |  | 
Her Şeyi Yak | Duman |  | 
Bu Akşam | Duman |  | 
Elleri Ellerime | Duman |  | 
Cambaz | mor ve ötesi |  | 
Bir Derdim Var | mor ve ötesi |  | 
Deli | mor ve ötesi |  | 
Sevda Çiçeği | mor ve ötesi |  | 
Paramparça | Teoman |  | 
Paparazzi | Teoman |  | 
Renkli Rüyalar Oteli | Teoman |  | 
Can Kırıkları | Şebnem Ferah |  | 
Bir Kadın Çizeceksin | maNga |  | 
Cevapsız Sorular | maNga |  | 
Dünyanın Sonuna Doğmuşum | maNga |  | 
Böyle Kahpedir Dünya | Gripin |  | 
